experiment,case,repeat,seed,n,m,q,sigma,B,noise_model,trials,successes,failures,success_rate,failure_rate,accumulated_error_mean,accumulated_abs_error_mean,accumulated_error_std,time_keygen_s,time_encrypt_total_s,time_decrypt_total_s,time_encrypt_mean_s,time_decrypt_mean_s,time_attack_s,attack_solution_found,attack_success,public_key_size_bytes
noise_vs_no_noise,sin_ruido,0,383329927,64,128,257,0.0,,gaussian,400,400,0,1.0,0.0,0.0,0.0,0.0,7.170900062192231e-05,0.0031024170020828024,0.0010118329955730587,7.756042505207006e-06,2.5295824889326467e-06,0.009593291993951425,True,True,9360
noise_vs_no_noise,sin_ruido,1,3324115916,64,128,257,0.0,,gaussian,400,400,0,1.0,0.0,0.0,0.0,0.0,3.366700548212975e-05,0.002825375006068498,0.0009224579989677295,7.0634375151712445e-06,2.306144997419324e-06,0.009335333001217805,True,True,9360
noise_vs_no_noise,sin_ruido,2,2811363264,64,128,257,0.0,,gaussian,400,400,0,1.0,0.0,0.0,0.0,0.0,2.5125002139247954e-05,0.0027178750024177134,0.0008776659960858524,6.7946875060442834e-06,2.194164990214631e-06,0.009593957991455682,True,True,9360
noise_vs_no_noise,sin_ruido,3,1884968544,64,128,257,0.0,,gaussian,400,400,0,1.0,0.0,0.0,0.0,0.0,2.7582995244301856e-05,0.002758083996013738,0.0009627090039430186,6.895209990034345e-06,2.4067725098575464e-06,0.009680167000624351,True,True,9360
noise_vs_no_noise,sin_ruido,4,1859786275,64,128,257,0.0,,gaussian,400,400,0,1.0,0.0,0.0,0.0,0.0,3.187500988133252e-05,0.0027053329977206886,0.0009406250028405339,6.763332494301721e-06,2.3515625071013345e-06,0.009928958999807946,True,True,9360
noise_vs_no_noise,sin_ruido,5,3687649985,64,128,257,0.0,,gaussian,400,400,0,1.0,0.0,0.0,0.0,0.0,2.849999873433262e-05,0.0032439579954370856,0.0008741670026211068,8.109894988592714e-06,2.185417506552767e-06,0.009828750000451691,True,True,9360
noise_vs_no_noise,sin_ruido,6,369133708,64,128,257,0.0,,gaussian,400,400,0,1.0,0.0,0.0,0.0,0.0,3.037499845959246e-05,0.002846290997695178,0.0009394579974468797,7.115727494237945e-06,2.3486449936171993e-06,0.009340625008917414,True,True,9360
noise_vs_no_noise,sin_ruido,7,2995172877,64,128,257,0.0,,gaussian,400,400,0,1.0,0.0,0.0,0.0,0.0,2.7166999643668532e-05,0.0028035420109517872,0.0009982080082409084,7.008855027379468e-06,2.4955200206022708e-06,0.00996787499752827,True,True,9360
noise_vs_no_noise,sin_ruido,8,865305066,64,128,257,0.0,,gaussian,400,400,0,1.0,0.0,0.0,0.0,0.0,3.229100548196584e-05,0.002878333005355671,0.0009455410036025569,7.195832513389177e-06,2.363852509006392e-06,0.009856958000455052,True,True,9360
noise_vs_no_noise,sin_ruido,9,404488628,64,128,257,0.0,,gaussian,400,400,0,1.0,0.0,0.0,0.0,0.0,2.9499991796910763e-05,0.002776541994535364,0.0009609160042600706,6.94135498633841e-06,2.4022900106501764e-06,0.009941583004547283,True,True,9360
