experiment,case,repeat,seed,n,m,q,sigma,B,noise_model,trials,successes,failures,success_rate,failure_rate,accumulated_error_mean,accumulated_abs_error_mean,accumulated_error_std,time_keygen_s,time_encrypt_total_s,time_decrypt_total_s,time_encrypt_mean_s,time_decrypt_mean_s,time_attack_s,attack_solution_found,attack_success,public_key_size_bytes
n_sweep,n=16,0,3970835227,16,32,257,2.0,,gaussian,400,400,0,1.0,0.0,6.17,7.24,6.246891959036083,2.8416005079634488e-05,0.001476000004913658,0.0009783329878700897,3.6900000122841447e-06,2.4458324696752245e-06,,,,612
n_sweep,n=16,1,2461577426,16,32,257,2.0,,gaussian,400,400,0,1.0,0.0,-4.5825,5.0725,3.9448826341849177,1.3582990504801273e-05,0.0015174159925663844,0.0009785000002011657,3.7935399814159608e-06,2.446250000502914e-06,,,,612
n_sweep,n=16,2,3142239216,16,32,257,2.0,,gaussian,400,400,0,1.0,0.0,7.635,8.04,5.274592716106335,1.1416006600484252e-05,0.0015540000022156164,0.0009588749962858856,3.885000005539041e-06,2.397187490714714e-06,,,,612
n_sweep,n=16,3,2269852183,16,32,257,2.0,,gaussian,400,400,0,1.0,0.0,-4.6175,7.0975,7.386310832837882,1.041700306814164e-05,0.0015352079935837537,0.0009601250058040023,3.838019983959384e-06,2.4003125145100057e-06,,,,612
n_sweep,n=16,4,2284192851,16,32,257,2.0,,gaussian,400,400,0,1.0,0.0,-14.8725,14.9075,6.634476954602592,1.0292002116329968e-05,0.0015201670030364767,0.0009957500005839393,3.800417507591192e-06,2.489375001459848e-06,,,,612
n_sweep,n=16,5,3279852804,16,32,257,2.0,,gaussian,400,400,0,1.0,0.0,5.2225,5.9775,5.058851024117089,1.0500007192604244e-05,0.001782292005373165,0.0008954590011853725,4.4557300134329125e-06,2.238647502963431e-06,,,,612
n_sweep,n=16,6,3032289432,16,32,257,2.0,,gaussian,400,400,0,1.0,0.0,-8.2,8.515,5.477683135352786,1.4082994312047958e-05,0.0015159579925239086,0.0009507909999229014,3.7898949813097716e-06,2.3769774998072534e-06,,,,612
n_sweep,n=16,7,3486193887,16,32,257,2.0,,gaussian,400,400,0,1.0,0.0,-0.465,4.07,4.9805410824210865,1.1583993909880519e-05,0.0016850829997565597,0.0010548749996814877,4.212707499391399e-06,2.637187499203719e-06,,,,612
n_sweep,n=16,8,2416469414,16,32,257,2.0,,gaussian,400,400,0,1.0,0.0,-0.4975,3.4025,4.223694204346424,1.0957999620586634e-05,0.0016128749994095415,0.0008905419963411987,4.032187498523854e-06,2.226354990852997e-06,,,,612
n_sweep,n=16,9,2191416245,16,32,257,2.0,,gaussian,400,400,0,1.0,0.0,-1.665,4.215,5.003535091165176,1.1832991731353104e-05,0.0015068749926285818,0.0009453749953536317,3.7671874815714545e-06,2.363437488384079e-06,,,,612
