experiment,case,repeat,seed,n,m,q,sigma,B,noise_model,trials,successes,failures,success_rate,failure_rate,accumulated_error_mean,accumulated_abs_error_mean,accumulated_error_std,time_keygen_s,time_encrypt_total_s,time_decrypt_total_s,time_encrypt_mean_s,time_decrypt_mean_s,time_attack_s,attack_solution_found,attack_success,public_key_size_bytes
q_sweep,q=97,0,2864100982,64,128,97,4.0,,gaussian,400,143,257,0.3575,0.6425,6.91,28.68,30.8234832196896,4.345799970906228e-05,0.0028949580009793863,0.0009492920071352273,7.237395002448466e-06,2.3732300178380683e-06,,,,7280
q_sweep,q=97,1,526414854,64,128,97,4.0,,gaussian,400,219,181,0.5475,0.4525,10.79,23.585,25.047441702489277,3.212499723304063e-05,0.0026682089956011623,0.0009523330081719905,6.670522489002906e-06,2.3808325204299763e-06,,,,7280
q_sweep,q=97,2,3517848709,64,128,97,4.0,,gaussian,400,244,156,0.61,0.39,5.4075,20.9275,24.45212075205713,2.824999683070928e-05,0.0029066249990137294,0.0010312500089639798,7.2665624975343234e-06,2.5781250224099494e-06,,,,7280
q_sweep,q=97,3,1108587213,64,128,97,4.0,,gaussian,400,259,141,0.6475,0.3525,-6.1875,19.3125,22.440282070386196,3.879101132042706e-05,0.002743166987784207,0.000961000012466684,6.857917469460517e-06,2.40250003116671e-06,,,,7280
q_sweep,q=97,4,2859914848,64,128,97,4.0,,gaussian,400,119,281,0.2975,0.7025,5.19,30.61,32.75677664301084,2.925000444520265e-05,0.0028162079979665577,0.0009728340082801878,7.040519994916394e-06,2.4320850207004694e-06,,,,7280
q_sweep,q=97,5,1742772004,64,128,97,4.0,,gaussian,400,208,192,0.52,0.48,12.6775,23.9375,24.509800479581063,2.8750000637955964e-05,0.002790833998005837,0.0009610840061213821,6.977084995014593e-06,2.4027100153034554e-06,,,,7280
q_sweep,q=97,6,379900539,64,128,97,4.0,,gaussian,400,133,267,0.3325,0.6675,-6.2025,29.2025,31.572671374057588,2.487500023562461e-05,0.0027765420090872794,0.001298500006669201,6.941355022718198e-06,3.2462500166730025e-06,,,,7280
q_sweep,q=97,7,4162613360,64,128,97,4.0,,gaussian,400,277,123,0.6925,0.3075,1.74,18.365,22.179319320343996,4.062500374857336e-05,0.0026185830065514892,0.0009636659960960969,6.546457516378723e-06,2.4091649902402423e-06,,,,7280
q_sweep,q=97,8,2296780529,64,128,97,4.0,,gaussian,400,306,94,0.765,0.235,2.0975,16.1725,19.702498950952407,2.4541004677303135e-05,0.0026912920002359897,0.0009812909993343055,6.728230000589974e-06,2.453227498335764e-06,,,,7280
q_sweep,q=97,9,697146741,64,128,97,4.0,,gaussian,400,198,202,0.495,0.505,-12.0,24.035,25.119663487681038,2.7582995244301856e-05,0.0027264999953331426,0.0009728330041980371,6.8162499883328565e-06,2.4320825104950927e-06,,,,7280
