experiment,case,repeat,seed,n,m,q,sigma,B,noise_model,trials,successes,failures,success_rate,failure_rate,accumulated_error_mean,accumulated_abs_error_mean,accumulated_error_std,time_keygen_s,time_encrypt_total_s,time_decrypt_total_s,time_encrypt_mean_s,time_decrypt_mean_s,time_attack_s,attack_solution_found,attack_success,public_key_size_bytes
q_sweep,q=97,0,2864100982,64,128,97,4.0,,gaussian,1000,344,656,0.344,0.656,6.47,28.846,31.102451068403955,4.295799590181559e-05,0.006887791998451576,0.002762542004347779,6.887791998451576e-06,2.7625420043477787e-06,,,,7280
q_sweep,q=97,1,526414854,64,128,97,4.0,,gaussian,1000,538,462,0.538,0.462,12.098,23.172,24.049423501838266,5.212500400375575e-05,0.006728416992700659,0.0022187919967109337,6.7284169927006585e-06,2.218791996710934e-06,,,,7280
q_sweep,q=97,2,3517848709,64,128,97,4.0,,gaussian,1000,612,388,0.612,0.388,7.275,20.725,23.821184349730046,3.633400774560869e-05,0.006398124998668209,0.002314750003279187,6.398124998668209e-06,2.314750003279187e-06,,,,7280
q_sweep,q=97,3,1108587213,64,128,97,4.0,,gaussian,1000,647,353,0.647,0.353,-5.178,19.958,23.371104478062747,2.6915993657894433e-05,0.006616875005420297,0.002369458001339808,6.616875005420298e-06,2.369458001339808e-06,,,,7280
q_sweep,q=97,4,2859914848,64,128,97,4.0,,gaussian,1000,295,705,0.295,0.705,3.626,30.832,33.3552799223556,2.724998921621591e-05,0.006656415993347764,0.002410042012343183,6.656415993347764e-06,2.410042012343183e-06,,,,7280
q_sweep,q=97,5,1742772004,64,128,97,4.0,,gaussian,1000,535,465,0.535,0.465,13.318,23.51,23.75451858390637,2.6749999960884452e-05,0.0065390000090701506,0.002239749999716878,6.53900000907015e-06,2.239749999716878e-06,,,,7280
q_sweep,q=97,6,379900539,64,128,97,4.0,,gaussian,1000,426,574,0.426,0.574,-7.028,26.76,29.092397350228524,2.983299782499671e-05,0.00650612500612624,0.002361082995776087,6.50612500612624e-06,2.361082995776087e-06,,,,7280
q_sweep,q=97,7,4162613360,64,128,97,4.0,,gaussian,1000,683,317,0.683,0.317,1.496,18.618,22.630247725381004,2.575000689830631e-05,0.006634791003307328,0.0023626670008525252,6.634791003307327e-06,2.362667000852525e-06,,,,7280
q_sweep,q=97,8,2296780529,64,128,97,4.0,,gaussian,1000,777,223,0.777,0.223,3.215,15.665,19.202956244509036,2.704199869185686e-05,0.006587584008229896,0.002373583003645763,6.5875840082298964e-06,2.373583003645763e-06,,,,7280
q_sweep,q=97,9,697146741,64,128,97,4.0,,gaussian,1000,494,506,0.494,0.506,-12.554,24.052,24.644643280892552,2.608299837447703e-05,0.006317082996247336,0.002291333003086038,6.317082996247336e-06,2.2913330030860377e-06,,,,7280
q_sweep,q=97,10,4269342738,64,128,97,4.0,,gaussian,1000,680,320,0.68,0.32,3.746,19.102,22.75397168028534,2.6666995836421847e-05,0.0066087500017602,0.0022877079900354147,6.6087500017602e-06,2.2877079900354146e-06,,,,7280
q_sweep,q=97,11,3682048289,64,128,97,4.0,,gaussian,1000,752,248,0.752,0.248,-4.728,16.52,19.79934418181648,2.9332994017750025e-05,0.006441499994252808,0.0022955000022193417,6.441499994252809e-06,2.295500002219342e-06,,,,7280
